DateTime,MentalHealthTweets,UV,CloudCover
2019-01-01 22:00:00,0.0,0.47,90.0
2019-01-02 11:00:00,24.0,0.47,90.0
2019-01-02 12:00:00,31.0,0.47,90.0
2019-01-02 13:00:00,40.0,0.47,90.0
2019-01-02 14:00:00,40.0,0.47,75.0
2019-01-02 15:00:00,29.0,0.47,90.0
2019-01-02 16:00:00,34.0,0.47,90.0
2019-01-02 17:00:00,42.0,0.47,90.0
2019-01-02 18:00:00,32.0,0.47,90.0
2019-01-02 19:00:00,40.0,0.47,90.0
2019-01-02 20:00:00,19.0,0.47,90.0
2019-01-03 13:00:00,0.0,0.48,90.0
2019-01-03 14:00:00,0.0,0.48,75.0
2019-01-03 15:00:00,0.0,0.48,75.0
2019-01-03 17:00:00,30.0,0.48,90.0
2019-01-03 18:00:00,28.0,0.48,90.0
2019-01-03 19:00:00,41.0,0.48,90.0
2019-01-03 20:00:00,22.0,0.48,90.0
2019-01-03 21:00:00,29.0,0.48,90.0
2019-01-04 00:00:00,33.0,0.47,75.0
2019-01-04 01:00:00,15.0,0.47,0.0
2019-01-04 02:00:00,16.0,0.47,75.0
2019-01-04 03:00:00,9.0,0.47,90.0
2019-01-04 04:00:00,5.0,0.47,90.0
2019-01-04 05:00:00,8.0,0.47,90.0
2019-01-04 06:00:00,10.0,0.47,90.0
2019-01-04 07:00:00,7.0,0.47,90.0
2019-01-04 10:00:00,23.0,0.47,0.0
2019-01-06 00:00:00,21.0,0.48,90.0
2019-01-06 00:00:00,6.0,0.48,90.0
2019-01-06 01:00:00,28.0,0.48,90.0
2019-01-06 02:00:00,48.0,0.48,90.0
2019-01-06 03:00:00,16.0,0.48,90.0
2019-01-06 04:00:00,14.0,0.48,90.0
2019-01-06 05:00:00,6.0,0.48,90.0
2019-01-06 06:00:00,4.0,0.48,90.0
2019-01-06 07:00:00,23.0,0.48,90.0
2019-01-06 08:00:00,24.0,0.48,90.0
2019-01-06 09:00:00,35.0,0.48,75.0
2019-01-07 22:00:00,45.0,0.47,75.0
2019-01-07 23:00:00,37.0,0.47,75.0
2019-01-08 00:00:00,16.0,0.49,24.0
2019-01-08 14:00:00,25.0,0.49,20.0
2019-01-08 15:00:00,36.0,0.49,20.0
2019-01-08 16:00:00,32.0,0.49,0.0
2019-01-08 17:00:00,31.0,0.49,20
2019-01-08 18:00:00,29.0,0.49,20
2019-01-08 19:00:00,30.0,0.49,20
2019-01-08 20:00:00,31.0,0.49,20
2019-01-08 21:00:00,78.0,0.49,40
2019-01-08 22:00:00,30.0,0.49,75
2019-01-08 23:00:00,34.0,0.49,75
2019-01-09 00:00:00,24.0,0.49,0
2019-01-09 01:00:00,18.0,0.47,75
2019-01-09 02:00:00,9.0,0.47,12
2019-01-09 03:00:00,11.0,0.47,75
2019-01-09 04:00:00,4.0,0.47,75
2019-01-09 05:00:00,7.0,0.47,90
2019-01-09 06:00:00,7.0,0.47,75
2019-01-09 07:00:00,13.0,0.47,75
2019-01-09 08:00:00,31.0,0.47,20
2019-01-09 10:00:00,28.0,0.47,75
2019-01-09 11:00:00,33.0,0.47,75
2019-01-09 12:00:00,45.0,0.47,75
2019-01-09 13:00:00,40.0,0.47,40
2019-01-09 14:00:00,34.0,0.47,40
2019-01-09 15:00:00,42.0,0.47,20
2019-01-09 16:00:00,23.0,0.47,20
